,index,firing_rate,condition,neuron_id
75,75,14.504262256141166,76.0,data_sdc_20190902_145404_fromSD_N0
76,76,13.283956596668576,76.0,data_sdc_20190902_145404_fromSD_N0
77,77,18.311840573370173,76.0,data_sdc_20190902_145404_fromSD_N0
78,78,21.822662897847184,76.0,data_sdc_20190902_145404_fromSD_N0
79,79,11.93802858224749,76.0,data_sdc_20190902_145404_fromSD_N0
80,80,18.999992184621263,76.0,data_sdc_20190902_145404_fromSD_N0
81,81,19.014379675273762,76.0,data_sdc_20190902_145404_fromSD_N0
82,82,15.820072018415564,76.0,data_sdc_20190902_145404_fromSD_N0
83,83,19.436017281582703,76.0,data_sdc_20190902_145404_fromSD_N0
84,84,15.834631380021424,76.0,data_sdc_20190902_145404_fromSD_N0
85,85,15.937945897813739,76.0,data_sdc_20190902_145404_fromSD_N0
86,86,23.121871548398254,76.0,data_sdc_20190902_145404_fromSD_N0
87,87,13.694765389279418,76.0,data_sdc_20190902_145404_fromSD_N0
88,88,25.89093537260937,76.0,data_sdc_20190902_145404_fromSD_N0
89,89,22.05465027173222,76.0,data_sdc_20190902_145404_fromSD_N0
90,90,17.818997167573123,76.0,data_sdc_20190902_145404_fromSD_N0
91,91,16.03980840616827,76.0,data_sdc_20190902_145404_fromSD_N0
92,92,22.742406093755093,76.0,data_sdc_20190902_145404_fromSD_N0
93,93,19.232814191447357,76.0,data_sdc_20190902_145404_fromSD_N0
94,94,18.233153136350186,76.0,data_sdc_20190902_145404_fromSD_N0
95,95,22.69668847711259,76.0,data_sdc_20190902_145404_fromSD_N0
96,96,24.8675743713458,76.0,data_sdc_20190902_145404_fromSD_N0
97,97,21.843783001344885,76.0,data_sdc_20190902_145404_fromSD_N0
98,98,29.494821983439323,76.0,data_sdc_20190902_145404_fromSD_N0
99,99,21.681383216211625,76.0,data_sdc_20190902_145404_fromSD_N0
100,100,14.197570671375418,76.0,data_sdc_20190902_145404_fromSD_N0
101,101,20.153655176165458,76.0,data_sdc_20190902_145404_fromSD_N0
102,102,17.893202687142246,76.0,data_sdc_20190902_145404_fromSD_N0
103,103,14.176852475304727,76.0,data_sdc_20190902_145404_fromSD_N0
104,104,20.70883569105266,76.0,data_sdc_20190902_145404_fromSD_N0
105,105,14.448018319609472,76.0,data_sdc_20190902_145404_fromSD_N0
106,106,22.84327284045636,76.0,data_sdc_20190902_145404_fromSD_N0
107,107,13.64210335848314,76.0,data_sdc_20190902_145404_fromSD_N0
108,108,17.380338717406733,76.0,data_sdc_20190902_145404_fromSD_N0
109,109,24.000880789502542,76.0,data_sdc_20190902_145404_fromSD_N0
110,110,10.931023496912873,76.0,data_sdc_20190902_145404_fromSD_N0
111,111,9.828890817212528,76.0,data_sdc_20190902_145404_fromSD_N0
112,112,12.370929930582601,76.0,data_sdc_20190902_145404_fromSD_N0
113,113,20.540118322851836,76.0,data_sdc_20190902_145404_fromSD_N0
114,114,21.728136152781598,76.0,data_sdc_20190902_145404_fromSD_N0
115,115,20.64696097724822,76.0,data_sdc_20190902_145404_fromSD_N0
116,116,16.78546744454576,76.0,data_sdc_20190902_145404_fromSD_N0
117,117,20.132175548091983,76.0,data_sdc_20190902_145404_fromSD_N0
118,118,20.76041882336814,76.0,data_sdc_20190902_145404_fromSD_N0
119,119,18.85524482850008,76.0,data_sdc_20190902_145404_fromSD_N0
120,120,18.28667640409024,76.0,data_sdc_20190902_145404_fromSD_N0
121,121,27.448850474217966,76.0,data_sdc_20190902_145404_fromSD_N0
122,122,16.30116966114684,76.0,data_sdc_20190902_145404_fromSD_N0
123,123,24.77325029314412,76.0,data_sdc_20190902_145404_fromSD_N0
124,124,13.602669643158462,76.0,data_sdc_20190902_145404_fromSD_N0
125,125,20.386045806150147,76.0,data_sdc_20190902_145404_fromSD_N0
